name,freq
SiO2,48
Al2O3,47
CaO,38
B2O3,37
MgO,31
Na2O,30
BaO,30
K2O,30
ZnO,28
ZrO2,20
Li2O,19
TiO2,19
,
,
SrO,15
Fe2O3,14
P2O5,12
,
,
,
F,8
SnO2,8
,
As2O3,7
V2O5,7
CeO2,7
La2O3,7
,
Sb2O3,6
,
,
Ta2O5,5
Nb2O5,5
,
Y2O3,5
PbO,4
,
Cr2O3,4
,
MnO,4
,
,
,
,
,
CuO,4
,
CoO,3
,
MnO2,3
,
,
F2,3
,
,
Gd2O3,3
WO3,3
GeO2,3
,
Ni2O3,2
,
,
,
,
,
SO3,2
,
,
NiO,2
,
,
,
Er2O3,2
Cl,2
,
,
Bi2O3,2
,
,
TeO2,2
,
,
,
,
,
,
Rb2O,1
,
,
,
,
,
,
,
,
,
,
R2O3,1
,
,
,
FeO,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
CdO,1
,
,
,
,
SnO,1
Cu2O,1
,
S,1
Ga2O3,1
,
,
,
,
,
Co2O3,1
Se,1
,
,
,
Si3N4,1
,
,
MoO3,1
,
,
,
,
,
,
,
,
,
,
"H2O, ppm",1
