json_file,excel_file,n_gold_samples,n_pred_samples,Exact_precision_%,Exact_recall_%,Exact_f1_%,Pair_micro_precision_%,Pair_micro_recall_%,Pair_micro_f1_%,TP_pairs,FP_pairs,FN_pairs,Gold_pairs,Pred_pairs,language
CN101033114A.json,CN101033114 _table-33959.xlsx,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,55,55,0,CN
CN101058477A.json,CN101058477_table-35472.xlsx,4,4,100.0,100.0,100.0,100.0,100.0,100.0,18,0,0,18,18,CN
CN101072676A.json,CN101072676A_table-30659.xlsx,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,70,70,0,CN
CN101092308B.json,CN101092308B_table-35489.xlsx,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,94,94,0,CN
CN1308591A.json,CN1308591_table-24104.xlsx,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,50,0,CN
CN1326903A.json,CN1326903_table-28556.xlsx,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,118,118,0,CN
CN1489965A.json,CN1489965_table-37874.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,12,0,CN
CN1495138A.json,CN1495138_table-30623.xlsx,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,32,0,CN
CN1522980A.json,CN1522980_table-28312.xlsx,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,31,31,0,CN
CN1771211A.json,CN1771211_table-28366.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24,24,0,CN
FR_1027316_A.json,FR1027316_table-16101.xlsx,1,2,50.0,100.0,66.67,66.67,100.0,80.0,6,3,0,6,9,FR
FR_1172977_A.json,FR1172977_table-29832.xlsx,4,4,25.0,25.0,25.0,88.24,85.71,86.96,30,4,5,35,34,FR
FR_1242292_A.json,FR1242292_table-37871.xlsx,10,13,7.69,10.0,8.7,60.0,94.74,73.47,18,12,1,19,30,FR
FR_1247560_A.json,FR1247560_table-29840.xlsx,3,11,27.27,100.0,42.86,70.0,100.0,82.35,21,9,0,21,30,FR
FR_1388413_A.json,FR1388413_table-17489.xlsx,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,106,106,0,FR
FR_1484178_A.json,FR1484178_table-30674.xlsx,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,74,74,0,FR
FR_2511360_A1.json,FR2511360_table-8590.xlsx,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,51,51,0,FR
FR_2564087_A1.json,FR2564087_table-8498.xlsx,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,37,37,0,FR
FR_2650266_A1.json,FR2650266_table-4410.xlsx,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,12,22,22,12,FR
FR_2775476_A1.json,FR2775476_table-17437.xlsx,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,39,39,0,FR
JP2013209231A.json,JP2013209231_table-41689.xlsx,3,8,25.0,66.67,36.36,72.22,100.0,83.87,13,5,0,13,18,JP
JP2013520387A.json,JP2013520387_table-39169.xlsx,3,2,0.0,0.0,0.0,100.0,53.33,69.57,16,0,14,30,16,JP
JP2013520388A.json,JP2013520388_table-43286.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,48,0,JP
JP2014019632A.json,JP2014019632_table-41679.xlsx,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0,39,49,49,39,JP
JP2014504250A.json,JP2014504250_table-39897.xlsx,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99,99,0,JP
JP2015013773A.json,JP2015013773_table-42776.xlsx,8,5,0.0,0.0,0.0,41.94,32.5,36.62,13,18,27,40,31,JP
JP2015509903A.json,JP2015509903_table-43872.xlsx,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,253,253,0,JP
JP5454585B2.json,JP5454585_table-40257.xlsx,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,174,174,0,JP
JP5613164B2.json,JP5613164_table-40102.xlsx,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,154,154,0,JP
JP5743125B2.json,JP5743125_table-43288.xlsx,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,47,47,0,JP
JP5763852B2.json,JP5763852_table-44883.xlsx,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,6,0,JP
KR20160040680A.json,KR20160040680_table-42977.xlsx,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40,40,0,KR
KR20170007352A.json,KR20170007352_table-43529.xlsx,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,57,57,0,KR
KR20170021584A.json,KR20170021584_table-43757.xlsx,4,4,100.0,100.0,100.0,100.0,100.0,100.0,7,0,0,7,7,KR
RU_2015120_C1.json,RU2015120_table-15217.xlsx,3,3,0.0,0.0,0.0,75.76,83.33,79.37,25,8,5,30,33,RU
RU_2016858_C1.json,RU2016858_table-4323.xlsx,3,4,75.0,100.0,85.71,77.78,100.0,87.5,28,8,0,28,36,RU
RU2016861C1.json,RU2016861_table-4306.xlsx,5,5,0.0,0.0,0.0,100.0,93.18,96.47,41,0,3,44,41,RU
RU2017695C1.json,RU2017695_table-4488.xlsx,5,6,83.33,100.0,90.91,94.87,100.0,97.37,37,2,0,37,39,RU
RU_2021219_C1.json,RU2021219_table-4489.xlsx,14,16,56.25,64.29,60.0,76.0,95.0,84.44,38,12,2,40,50,RU
RU_2044710_C1.json,RU2044710_table-8002.xlsx,5,5,100.0,100.0,100.0,100.0,100.0,100.0,35,0,0,35,35,RU
RU2045486C1.json,RU2045486_table-15262.xlsx,9,9,100.0,100.0,100.0,100.0,100.0,100.0,77,0,0,77,77,RU
RU2069198C1.json,RU2069198_table-15265.xlsx,5,8,62.5,100.0,76.92,64.44,100.0,78.38,29,16,0,29,45,RU
RU2102345C1.json,RU2102345_table-2783.xlsx,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,73,73,0,RU
RU_2383502_C1.json,RU2383502_table-37098.xlsx,3,3,100.0,100.0,100.0,100.0,100.0,100.0,27,0,0,27,27,RU
US1304623.json,US1304623_table-24764.xlsx,6,14,35.71,83.33,50.0,86.36,90.48,88.37,19,3,2,21,22,US
US1623301.json,US1623301_table-24156.xlsx,1,1,0.0,0.0,0.0,66.67,85.71,75.0,6,3,1,7,9,US
US20010014424A1.json,US20010014424A1_table-33582.xlsx,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16,16,0,US
US20030228968A1.json,US20030228968A1_table-28530.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21,21,0,US
US20040214047A1.json,US20040214047A1_table-28846.xlsx,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,196,0,US
US20060166804A1.json,US20060166804A1_table-33051.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40,40,0,US
US20090239122A1.json,US2009239122A1_table-30659.xlsx,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,70,70,0,US
US2486812.json,US2486812_table-16059.xlsx,5,18,0.0,0.0,0.0,10.53,12.5,11.43,2,17,14,16,19,US
US2920971.json,US2920971_table-37870.xlsx,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,144,144,0,US
