json_file,excel_file,n_gold_samples,n_pred_samples,Exact_precision_%,Exact_recall_%,Exact_f1_%,Pair_micro_precision_%,Pair_micro_recall_%,Pair_micro_f1_%,TP_pairs,FP_pairs,FN_pairs,Gold_pairs,Pred_pairs,language
CN101033114A.json,CN101033114 _table-33959.xlsx,8,6,0.0,0.0,0.0,100.0,74.55,85.42,41,0,14,55,41,CN
CN101058477A.json,CN101058477_table-35472.xlsx,4,4,100.0,100.0,100.0,100.0,100.0,100.0,18,0,0,18,18,CN
CN101072676A.json,CN101072676A_table-30659.xlsx,25,6,0.0,0.0,0.0,100.0,32.86,49.46,23,0,47,70,23,CN
CN101092308B.json,CN101092308B_table-35489.xlsx,23,22,45.45,43.48,44.44,100.0,95.74,97.83,90,0,4,94,90,CN
CN1308591A.json,CN1308591_table-24104.xlsx,8,68,0.0,0.0,0.0,18.05,100.0,30.58,50,227,0,50,277,CN
CN1326903A.json,CN1326903_table-28556.xlsx,15,14,0.0,0.0,0.0,93.22,93.22,93.22,110,8,8,118,118,CN
CN1489965A.json,CN1489965_table-37874.xlsx,5,14,35.71,100.0,52.63,75.0,100.0,85.71,12,4,0,12,16,CN
CN1495138A.json,CN1495138_table-30623.xlsx,6,7,28.57,33.33,30.77,82.86,90.62,86.57,29,6,3,32,35,CN
CN1522980A.json,CN1522980_table-28312.xlsx,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,31,31,0,CN
CN1771211A.json,CN1771211_table-28366.xlsx,5,5,0.0,0.0,0.0,77.42,100.0,87.27,24,7,0,24,31,CN
FR_1027316_A.json,FR1027316_table-16101.xlsx,1,2,0.0,0.0,0.0,55.56,83.33,66.67,5,4,1,6,9,FR
FR_1172977_A.json,FR1172977_table-29832.xlsx,4,4,0.0,0.0,0.0,76.92,85.71,81.08,30,9,5,35,39,FR
FR_1242292_A.json,FR1242292_table-37871.xlsx,10,18,5.56,10.0,7.14,61.54,84.21,71.11,16,10,3,19,26,FR
FR_1247560_A.json,FR1247560_table-29840.xlsx,3,3,100.0,100.0,100.0,100.0,100.0,100.0,21,0,0,21,21,FR
FR_1388413_A.json,FR1388413_table-17489.xlsx,32,42,0.0,0.0,0.0,68.75,62.26,65.35,66,30,40,106,96,FR
FR_1484178_A.json,FR1484178_table-30674.xlsx,23,40,22.5,39.13,28.57,66.07,100.0,79.57,74,38,0,74,112,FR
FR_2511360_A1.json,FR2511360_table-8590.xlsx,13,15,26.67,30.77,28.57,91.07,100.0,95.33,51,5,0,51,56,FR
FR_2564087_A1.json,FR2564087_table-8498.xlsx,6,6,0.0,0.0,0.0,91.89,91.89,91.89,34,3,3,37,37,FR
FR_2650266_A1.json,FR2650266_table-4410.xlsx,5,13,0.0,0.0,0.0,2.7,4.55,3.39,1,36,21,22,37,FR
FR_2775476_A1.json,FR2775476_table-17437.xlsx,7,7,28.57,28.57,28.57,95.12,100.0,97.5,39,2,0,39,41,FR
JP2013209231A.json,JP2013209231_table-41689.xlsx,3,4,50.0,66.67,57.14,76.47,100.0,86.67,13,4,0,13,17,JP
JP2013520387A.json,JP2013520387_table-39169.xlsx,3,2,0.0,0.0,0.0,100.0,50.0,66.67,15,0,15,30,15,JP
JP2013520388A.json,JP2013520388_table-43286.xlsx,5,9,0.0,0.0,0.0,78.57,91.67,84.62,44,12,4,48,56,JP
JP2014019632A.json,JP2014019632_table-41679.xlsx,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0,39,49,49,39,JP
JP2014504250A.json,JP2014504250_table-39897.xlsx,29,29,17.24,17.24,17.24,93.4,100.0,96.59,99,7,0,99,106,JP
JP2015013773A.json,JP2015013773_table-42776.xlsx,8,2,0.0,0.0,0.0,56.25,22.5,32.14,9,7,31,40,16,JP
