json_file,excel_file,n_gold_samples,n_pred_samples,Exact_precision_%,Exact_recall_%,Exact_f1_%,Pair_micro_precision_%,Pair_micro_recall_%,Pair_micro_f1_%,TP_pairs,FP_pairs,FN_pairs,Gold_pairs,Pred_pairs,language
CN101033114A.json,CN101033114 _table-33959.xlsx,8,6,0.0,0.0,0.0,100.0,69.09,81.72,38,0,17,55,38,CN
CN101058477A.json,CN101058477_table-35472.xlsx,4,4,100.0,100.0,100.0,100.0,100.0,100.0,18,0,0,18,18,CN
CN101092308B.json,CN101092308B_table-35489.xlsx,23,2,100.0,8.7,16.0,100.0,7.45,13.86,7,0,87,94,7,CN
CN1308591A.json,CN1308591_table-24104.xlsx,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,50,0,CN
CN1326903A.json,CN1326903_table-28556.xlsx,15,17,0.0,0.0,0.0,88.55,98.31,93.17,116,15,2,118,131,CN
CN1495138A.json,CN1495138_table-30623.xlsx,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,32,0,CN
FR_1027316_A.json,FR1027316_table-16101.xlsx,1,2,50.0,100.0,66.67,66.67,100.0,80.0,6,3,0,6,9,FR
FR_1172977_A.json,FR1172977_table-29832.xlsx,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,35,35,0,FR
FR_1242292_A.json,FR1242292_table-37871.xlsx,10,5,20.0,10.0,13.33,61.11,57.89,59.46,11,7,8,19,18,FR
FR_1247560_A.json,FR1247560_table-29840.xlsx,3,3,66.67,66.67,66.67,95.45,100.0,97.67,21,1,0,21,22,FR
FR_1388413_A.json,FR1388413_table-17489.xlsx,32,15,6.67,3.12,4.26,90.0,33.96,49.32,36,4,70,106,40,FR
FR_1484178_A.json,FR1484178_table-30674.xlsx,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,74,74,0,FR
FR_2511360_A1.json,FR2511360_table-8590.xlsx,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,51,51,0,FR
FR_2650266_A1.json,FR2650266_table-4410.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22,22,0,FR
FR_2775476_A1.json,FR2775476_table-17437.xlsx,7,7,28.57,28.57,28.57,95.12,100.0,97.5,39,2,0,39,41,FR
JP2013520387A.json,JP2013520387_table-39169.xlsx,3,2,0.0,0.0,0.0,100.0,50.0,66.67,15,0,15,30,15,JP
JP2013520388A.json,JP2013520388_table-43286.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,48,0,JP
JP2014019632A.json,JP2014019632_table-41679.xlsx,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0,39,49,49,39,JP
JP2014504250A.json,JP2014504250_table-39897.xlsx,29,29,17.24,17.24,17.24,95.19,100.0,97.54,99,5,0,99,104,JP
JP2015509903A.json,JP2015509903_table-43872.xlsx,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,253,253,0,JP
JP5454585B2.json,JP5454585_table-40257.xlsx,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,174,174,0,JP
JP5613164B2.json,JP5613164_table-40102.xlsx,53,10,10.0,1.89,3.17,89.55,38.96,54.3,60,7,94,154,67,JP
JP5743125B2.json,JP5743125_table-43288.xlsx,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,47,47,0,JP
JP5763852B2.json,JP5763852_table-44883.xlsx,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,6,0,JP
KR20170007352A.json,KR20170007352_table-43529.xlsx,8,9,33.33,37.5,35.29,90.48,100.0,95.0,57,6,0,57,63,KR
KR20170021584A.json,KR20170021584_table-43757.xlsx,4,4,100.0,100.0,100.0,100.0,100.0,100.0,7,0,0,7,7,KR
RU_2016858_C1.json,RU2016858_table-4323.xlsx,3,3,0.0,0.0,0.0,100.0,89.29,94.34,25,0,3,28,25,RU
RU2016861C1.json,RU2016861_table-4306.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,44,44,0,RU
RU2017695C1.json,RU2017695_table-4488.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,37,37,0,RU
RU_2021219_C1.json,RU2021219_table-4489.xlsx,14,14,42.86,42.86,42.86,95.24,100.0,97.56,40,2,0,40,42,RU
RU_2044710_C1.json,RU2044710_table-8002.xlsx,5,5,100.0,100.0,100.0,100.0,100.0,100.0,35,0,0,35,35,RU
RU2069198C1.json,RU2069198_table-15265.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,29,0,RU
RU2102345C1.json,RU2102345_table-2783.xlsx,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,73,73,0,RU
RU_2383502_C1.json,RU2383502_table-37098.xlsx,3,3,100.0,100.0,100.0,100.0,100.0,100.0,27,0,0,27,27,RU
US1304623.json,US1304623_table-24764.xlsx,6,6,100.0,100.0,100.0,100.0,100.0,100.0,21,0,0,21,21,US
US20010014424A1.json,US20010014424A1_table-33582.xlsx,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16,16,0,US
US20030228968A1.json,US20030228968A1_table-28530.xlsx,5,5,100.0,100.0,100.0,100.0,100.0,100.0,21,0,0,21,21,US
US20040214047A1.json,US20040214047A1_table-28846.xlsx,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,196,0,US
US20060166804A1.json,US20060166804A1_table-33051.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40,40,0,US
US2486812.json,US2486812_table-16059.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16,16,0,US
