json_file,excel_file,n_gold_samples,n_pred_samples,Exact_precision_%,Exact_recall_%,Exact_f1_%,Pair_micro_precision_%,Pair_micro_recall_%,Pair_micro_f1_%,TP_pairs,FP_pairs,FN_pairs,Gold_pairs,Pred_pairs,language
CN101033114A.json,CN101033114 _table-33959.xlsx,8,1,0.0,0.0,0.0,100.0,20.0,33.33,11,0,44,55,11,CN
CN101058477A.json,CN101058477_table-35472.xlsx,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,18,0,CN
CN101072676A.json,CN101072676A_table-30659.xlsx,25,1,100.0,4.0,7.69,100.0,5.71,10.81,4,0,66,70,4,CN
CN101092308B.json,CN101092308B_table-35489.xlsx,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,94,94,0,CN
CN1308591A.json,CN1308591_table-24104.xlsx,8,25,0.0,0.0,0.0,24.0,48.0,32.0,24,76,26,50,100,CN
CN1326903A.json,CN1326903_table-28556.xlsx,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,118,118,0,CN
CN1489965A.json,CN1489965_table-37874.xlsx,5,1,100.0,20.0,33.33,100.0,25.0,40.0,3,0,9,12,3,CN
CN1495138A.json,CN1495138_table-30623.xlsx,6,7,0.0,0.0,0.0,77.78,87.5,82.35,28,8,4,32,36,CN
CN1522980A.json,CN1522980_table-28312.xlsx,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,31,31,0,CN
CN1771211A.json,CN1771211_table-28366.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24,24,0,CN
FR_1027316_A.json,FR1027316_table-16101.xlsx,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,6,0,FR
FR_1172977_A.json,FR1172977_table-29832.xlsx,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,35,35,0,FR
FR_1242292_A.json,FR1242292_table-37871.xlsx,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,19,0,FR
FR_1247560_A.json,FR1247560_table-29840.xlsx,3,3,100.0,100.0,100.0,100.0,100.0,100.0,21,0,0,21,21,FR
FR_1388413_A.json,FR1388413_table-17489.xlsx,32,22,0.0,0.0,0.0,80.77,59.43,68.48,63,15,43,106,78,FR
FR_1484178_A.json,FR1484178_table-30674.xlsx,23,25,36.0,39.13,37.5,49.28,45.95,47.55,34,35,40,74,69,FR
FR_2511360_A1.json,FR2511360_table-8590.xlsx,13,15,26.67,30.77,28.57,91.07,100.0,95.33,51,5,0,51,56,FR
FR_2564087_A1.json,FR2564087_table-8498.xlsx,6,13,0.0,0.0,0.0,66.04,94.59,77.78,35,18,2,37,53,FR
FR_2650266_A1.json,FR2650266_table-4410.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22,22,0,FR
FR_2775476_A1.json,FR2775476_table-17437.xlsx,7,42,4.76,28.57,8.16,95.12,100.0,97.5,39,2,0,39,41,FR
JP2013209231A.json,JP2013209231_table-41689.xlsx,3,1,100.0,33.33,50.0,100.0,38.46,55.56,5,0,8,13,5,JP
JP2013520387A.json,JP2013520387_table-39169.xlsx,3,1,0.0,0.0,0.0,100.0,33.33,50.0,10,0,20,30,10,JP
JP2013520388A.json,JP2013520388_table-43286.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,48,0,JP
JP2014019632A.json,JP2014019632_table-41679.xlsx,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0,39,49,49,39,JP
JP2014504250A.json,JP2014504250_table-39897.xlsx,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99,99,0,JP
JP2015013773A.json,JP2015013773_table-42776.xlsx,8,1,0.0,0.0,0.0,37.5,7.5,12.5,3,5,37,40,8,JP
JP2015509903A.json,JP2015509903_table-43872.xlsx,68,1,0.0,0.0,0.0,100.0,1.98,3.88,5,0,248,253,5,JP
JP5454585B2.json,JP5454585_table-40257.xlsx,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,174,174,0,JP
JP5613164B2.json,JP5613164_table-40102.xlsx,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,154,154,0,JP
JP5743125B2.json,JP5743125_table-43288.xlsx,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,47,47,0,JP
JP5763852B2.json,JP5763852_table-44883.xlsx,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,6,0,JP
KR20160040680A.json,KR20160040680_table-42977.xlsx,12,14,64.29,75.0,69.23,78.43,100.0,87.91,40,11,0,40,51,KR
KR20170007352A.json,KR20170007352_table-43529.xlsx,8,9,22.22,25.0,23.53,86.67,91.23,88.89,52,8,5,57,60,KR
KR20170021584A.json,KR20170021584_table-43757.xlsx,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,7,0,KR
RU_2015120_C1.json,RU2015120_table-15217.xlsx,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30,30,0,RU
RU_2016858_C1.json,RU2016858_table-4323.xlsx,3,3,0.0,0.0,0.0,100.0,89.29,94.34,25,0,3,28,25,RU
RU2016861C1.json,RU2016861_table-4306.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,44,44,0,RU
RU2017695C1.json,RU2017695_table-4488.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,37,37,0,RU
RU_2021219_C1.json,RU2021219_table-4489.xlsx,14,14,0.0,0.0,0.0,83.78,77.5,80.52,31,6,9,40,37,RU
RU_2044710_C1.json,RU2044710_table-8002.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,35,35,0,RU
RU2045486C1.json,RU2045486_table-15262.xlsx,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,77,77,0,RU
RU2069198C1.json,RU2069198_table-15265.xlsx,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,29,0,RU
RU2102345C1.json,RU2102345_table-2783.xlsx,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,73,73,0,RU
RU_2383502_C1.json,RU2383502_table-37098.xlsx,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27,27,0,RU
US1304623.json,US1304623_table-24764.xlsx,6,6,66.67,66.67,66.67,95.24,95.24,95.24,20,1,1,21,21,US
US1623301.json,US1623301_table-24156.xlsx,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,7,0,US
US20010014424A1.json,US20010014424A1_table-33582.xlsx,9,3,0.0,0.0,0.0,75.0,18.75,30.0,3,1,13,16,4,US
US20030228968A1.json,US20030228968A1_table-28530.xlsx,5,13,0.0,0.0,0.0,61.76,100.0,76.36,21,13,0,21,34,US
US20040214047A1.json,US20040214047A1_table-28846.xlsx,68,4,0.0,0.0,0.0,97.06,16.84,28.7,33,1,163,196,34,US
US20060166804A1.json,US20060166804A1_table-33051.xlsx,5,6,0.0,0.0,0.0,40.0,45.0,42.35,18,27,22,40,45,US
US20090239122A1.json,US2009239122A1_table-30659.xlsx,25,1,100.0,4.0,7.69,100.0,5.71,10.81,4,0,66,70,4,US
US2486812.json,US2486812_table-16059.xlsx,5,1,0.0,0.0,0.0,100.0,6.25,11.76,1,0,15,16,1,US
US2920971.json,US2920971_table-37870.xlsx,51,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4,144,144,4,US
